Date,bag1_int,bag1_sl,bag2_int,bag2_sl,bag3_int,bag3_sl,bag1_3hr,bag2_3hr,bag3_3hr,weekday,week_num,b1_b2_3hr,b3_b2_3hr,bag1_t0,bag2_t0,bag3_t0,month,PM2.5,NOx,NO2,O3_amb,O3_amb_PM,temp
5/18/2020,34.84660222,0.111979221,34.49240801,0.125106568,33.91044199,0.153693305,55.00286204,57.01159018,61.57523682,0,6,-2.008728135,4.563646639,32.41893177,33.49473154,34.07058725,5,6,0.002733333,0.002233333,37.55,39.5,20.75
5/19/2020,29.56024768,0.110546474,27.84422531,0.168931922,27.90887792,0.208859716,49.45861298,58.25197124,65.50362672,0,6,-8.793358261,7.251655481,24.74747763,24.45185682,25.86852349,5,6,0.004,0.003133333,33.65,38.9,22.18333333
5/20/2020,28.82217535,0.118364968,27.17876957,0.147691275,28.05525823,0.171717993,50.1278695,53.76319911,58.96449696,0,6,-3.635329605,5.201297859,26.56518456,26.21430649,26.76075503,5,6,0.002633333,0.0021,31.1,40.6,24.97777778
5/21/2020,32.34836103,0.169783722,31.74544434,0.231787355,31.80097283,0.272441691,62.90943102,73.46716821,80.84047715,0,6,-10.55773719,7.373308938,19.47233781,26.92256152,27.59520134,5,11,0.006266667,0.004833333,35.95,43.5,28.27222222
5/22/2020,32.18995579,0.16491134,34.37435027,0.176250362,32.6388712,0.221104458,61.87399702,66.09941547,72.4376737,0,6,-4.225418451,6.338258229,29.82501119,30.83092841,31.33129195,5,5,0.003533333,0.0029,36.1,51.5,25.35555556
5/23/2020,34.97557686,0.162789475,35.31460957,0.142302067,35.46697379,0.160605769,64.27768233,60.92898157,64.37601214,1,6,3.348700756,3.447030574,33.16942953,33.57251678,33.85939597,5,7,0.002,0.0018,38.45,45.4,29.38888889
5/24/2020,40.47754075,0.272851992,40.93898818,0.200519207,41.77392362,0.213886993,89.59089933,77.03244551,80.27358229,1,6,12.55845382,3.241136785,39.26071029,38.61354586,39.78582215,5,17,0.002766667,0.002466667,44.9,49,33.17777778
5/25/2020,56.25413977,0.374995425,52.24044903,0.245603361,59.16221924,0.227198322,123.7533162,96.44905401,100.0579172,0,7,27.30426217,3.608863215,51.79246644,49.16368009,50.10805369,5,12,0.0047,0.004266667,60.05,59.2,36.62222222
5/26/2020,54.02143443,0.399994919,55.76625152,0.255863023,56.79560115,0.266139086,126.0205198,101.8215957,104.7006366,0,7,24.19892404,2.879040908,47.61769575,48.91121924,50.66045302,5,12,0.004833333,0.004366667,62,47.3,38.53333333
5/27/2020,50.97847395,0.384889027,49.93360424,0.260769623,58.71377661,0.215947236,120.2584989,96.87213636,97.584279,0,7,23.38636252,0.712142644,45.32153803,44.16427293,44.36461409,5,12,0.0047,0.004,56.8,47.3,38.05
